Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-16.5,-0.8295,0.07759,0.07523,-0.0679,1.0,0.0122
-16.25,-0.8556,0.06891,0.06636,-0.0735,1.0,0.0122
-16.0,-0.8847,0.0608,0.05805,-0.0783,1.0,0.0122
-15.75,-0.9015,0.05531,0.05243,-0.0812,1.0,0.0123
-15.5,-0.9225,0.04981,0.04674,-0.0834,1.0,0.0123
-15.25,-0.927,0.04669,0.04354,-0.0844,1.0,0.0125
-15.0,-0.9313,0.04374,0.0405,-0.085,1.0,0.0126
-14.75,-0.9308,0.04147,0.03815,-0.0854,1.0,0.0127
-14.5,-0.9274,0.03959,0.03622,-0.0855,1.0,0.0128
-14.25,-0.9244,0.03779,0.03436,-0.0853,1.0,0.013
-14.0,-0.9227,0.03592,0.03241,-0.0849,1.0,0.0131
-13.75,-0.9191,0.03437,0.03079,-0.0843,1.0,0.0133
-13.5,-0.9142,0.03309,0.02944,-0.0835,1.0,0.0135
-13.25,-0.9126,0.03158,0.02784,-0.0823,1.0,0.0137
-13.0,-0.9118,0.03019,0.02636,-0.0805,1.0,0.0138
-12.75,-0.8997,0.02916,0.02527,-0.0803,0.9933,0.0142
-12.5,-0.8783,0.02742,0.02335,-0.0824,0.9846,0.0146
-12.25,-0.8509,0.02602,0.0218,-0.0852,0.9774,0.0149
-12.0,-0.8176,0.02508,0.02073,-0.0887,0.971,0.0151
-11.75,-0.7934,0.02231,0.01776,-0.0912,0.9614,0.0158
-11.5,-0.7636,0.02143,0.01682,-0.0934,0.9485,0.0161
-11.25,-0.743,0.02077,0.01605,-0.0935,0.932,0.0164
-11.0,-0.7295,0.02026,0.01543,-0.0918,0.9162,0.0168
-10.75,-0.7173,0.01974,0.01479,-0.0898,0.9029,0.0171
-10.5,-0.7023,0.01921,0.01415,-0.0882,0.8922,0.0175
-10.25,-0.6847,0.01875,0.01359,-0.087,0.8823,0.0179
-10.0,-0.6659,0.01836,0.0131,-0.0859,0.8735,0.0183
-9.75,-0.6462,0.01799,0.01263,-0.0849,0.8647,0.0186
-9.5,-0.6289,0.01675,0.01127,-0.0838,0.8569,0.0191
-9.25,-0.6102,0.01603,0.01049,-0.0828,0.8489,0.0196
-9.0,-0.5895,0.01558,0.01,-0.082,0.842,0.0201
-8.75,-0.5679,0.01518,0.00955,-0.0813,0.8346,0.0205
-8.5,-0.5458,0.01483,0.00914,-0.0807,0.828,0.0211
-8.25,-0.5232,0.01444,0.0087,-0.0801,0.821,0.0217
-8.0,-0.5006,0.01408,0.00826,-0.0795,0.8144,0.0222
-7.75,-0.4773,0.0137,0.00783,-0.079,0.8084,0.0226
-7.5,-0.453,0.01344,0.00751,-0.0786,0.8022,0.023
-7.25,-0.4353,0.01252,0.00652,-0.0774,0.7961,0.0238
-7.0,-0.4121,0.0121,0.00607,-0.0769,0.7901,0.0246
-6.75,-0.3878,0.01181,0.00574,-0.0766,0.7842,0.0254
-6.5,-0.363,0.01151,0.00541,-0.0763,0.7788,0.0261
-6.25,-0.3378,0.01122,0.00508,-0.0761,0.7733,0.027
-6.0,-0.3124,0.01097,0.00477,-0.0759,0.7681,0.0276
-5.75,-0.2867,0.01071,0.00447,-0.0758,0.7631,0.0282
-5.5,-0.2623,0.01024,0.00396,-0.0755,0.7578,0.0299
-5.25,-0.2362,0.01002,0.00371,-0.0755,0.7527,0.0314
-5.0,-0.2094,0.00983,0.00349,-0.0755,0.748,0.033
-4.75,-0.1822,0.00965,0.00329,-0.0756,0.7433,0.0342
-4.5,-0.1558,0.00936,0.00297,-0.0755,0.7387,0.0379
-4.25,-0.1287,0.00921,0.00278,-0.0756,0.7341,0.0413
-4.0,-0.1016,0.00894,0.00257,-0.0757,0.7299,0.0518
-3.75,-0.0759,0.00844,0.00231,-0.0758,0.7253,0.1099
-3.5,-0.0516,0.00768,0.00199,-0.0759,0.7209,0.2371
-3.25,-0.0276,0.00667,0.00163,-0.0762,0.7169,0.4187
-3.0,-0.0004,0.0062,0.00153,-0.0766,0.7131,0.5244
-2.75,0.0282,0.00612,0.0015,-0.0769,0.709,0.5573
-2.5,0.0569,0.0061,0.00148,-0.0772,0.705,0.5778
-2.25,0.0859,0.00609,0.00147,-0.0775,0.7012,0.5907
-2.0,0.1149,0.00607,0.00147,-0.0779,0.6976,0.6065
-1.75,0.1438,0.00608,0.00151,-0.0781,0.6939,0.6253
-1.5,0.1726,0.00614,0.00156,-0.0784,0.6903,0.642
-1.25,0.2016,0.0062,0.00158,-0.0787,0.6866,0.6505
-1.0,0.2307,0.00618,0.00159,-0.079,0.6834,0.6548
-0.75,0.2599,0.00618,0.00158,-0.0794,0.6798,0.6582
-0.5,0.289,0.00621,0.00158,-0.0798,0.6764,0.6616
-0.25,0.3181,0.00626,0.00158,-0.0801,0.6731,0.6648
0.0,0.347,0.00626,0.0016,-0.0805,0.6698,0.6684
0.25,0.3761,0.00626,0.00162,-0.0808,0.6666,0.6717
0.5,0.4052,0.00627,0.00164,-0.0812,0.6633,0.6754
0.75,0.4342,0.00631,0.00166,-0.0816,0.6601,0.6789
1.0,0.4631,0.00637,0.00169,-0.0819,0.6567,0.6823
1.25,0.492,0.00638,0.00174,-0.0822,0.6537,0.6859
1.5,0.521,0.00639,0.00178,-0.0826,0.6505,0.6898
1.75,0.5499,0.00642,0.00183,-0.0829,0.6472,0.6937
2.0,0.5787,0.00648,0.00187,-0.0832,0.643,0.6971
2.25,0.607,0.0065,0.00192,-0.0835,0.6381,0.7011
2.5,0.6355,0.0065,0.00197,-0.0837,0.6329,0.7052
2.75,0.6637,0.00656,0.00201,-0.0839,0.6268,0.7095
3.0,0.6919,0.00659,0.00206,-0.0841,0.619,0.7134
3.25,0.719,0.00663,0.0021,-0.084,0.6087,0.7178
3.5,0.7463,0.00666,0.00214,-0.084,0.5957,0.7222
3.75,0.7736,0.00673,0.0022,-0.084,0.5818,0.7267
4.0,0.8007,0.00682,0.00228,-0.084,0.5672,0.7312
4.25,0.8273,0.00691,0.00238,-0.0839,0.5518,0.7361
4.5,0.8528,0.00707,0.0025,-0.0836,0.5306,0.7411
4.75,0.8766,0.00736,0.00266,-0.083,0.4947,0.7459
5.0,0.8937,0.00799,0.003,-0.0813,0.4222,0.751
5.25,0.9045,0.00904,0.0036,-0.0786,0.3248,0.7567
5.5,0.9153,0.01007,0.00419,-0.0759,0.2375,0.7624
5.75,0.9259,0.01099,0.00477,-0.0732,0.1646,0.7685
6.0,0.9369,0.01184,0.00533,-0.0706,0.106,0.7751
6.25,0.9493,0.01255,0.00586,-0.0682,0.0665,0.7813
6.5,0.9613,0.01312,0.00632,-0.0656,0.044,0.7881
7.0,0.9909,0.01396,0.00716,-0.0613,0.0314,0.8022
7.25,1.005,0.01446,0.00766,-0.0592,0.0281,0.8103
7.5,1.021,0.01486,0.00813,-0.0574,0.0263,0.8183
8.0,1.0491,0.01591,0.00926,-0.0534,0.0226,0.8361
8.25,1.0637,0.01643,0.00986,-0.0516,0.0217,0.8455
8.5,1.0791,0.01692,0.01041,-0.05,0.0208,0.8559
8.75,1.0931,0.01747,0.01103,-0.0482,0.0199,0.8671
9.0,1.1062,0.01807,0.01169,-0.0463,0.0193,0.8799
9.25,1.1151,0.01889,0.01259,-0.0438,0.0184,0.8958
9.5,1.1206,0.01986,0.01367,-0.041,0.0179,0.9163
9.75,1.1313,0.0204,0.01433,-0.0387,0.0176,0.9451
10.0,1.1483,0.02115,0.01517,-0.0381,0.0172,1.0
10.25,1.1627,0.022,0.01605,-0.0371,0.0168,1.0
10.5,1.1767,0.02288,0.01697,-0.036,0.0162,1.0
10.75,1.1893,0.02388,0.018,-0.0348,0.0159,1.0
11.0,1.2026,0.02483,0.01898,-0.0338,0.0155,1.0
11.25,1.2137,0.02597,0.02015,-0.0326,0.0151,1.0
11.5,1.2191,0.02757,0.02179,-0.0309,0.0146,1.0
11.75,1.2224,0.02939,0.02369,-0.0292,0.0143,1.0
12.0,1.234,0.03059,0.02494,-0.0282,0.0142,1.0
12.25,1.2472,0.03167,0.02608,-0.0275,0.014,1.0
12.5,1.2578,0.03299,0.02746,-0.0265,0.0138,1.0
12.75,1.2675,0.03443,0.02896,-0.0256,0.0137,1.0
13.0,1.2777,0.03585,0.03044,-0.0248,0.0134,1.0
13.25,1.2868,0.03739,0.03204,-0.024,0.0133,1.0
13.5,1.2967,0.03889,0.0336,-0.0233,0.013,1.0
13.75,1.3055,0.04053,0.03531,-0.0226,0.0128,1.0
