Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.75,-1.1778,0.08108,0.07746,-0.0649,1.0,0.0235
-19.5,-1.1876,0.07605,0.07233,-0.0674,1.0,0.0236
-19.25,-1.1956,0.07137,0.06755,-0.0698,1.0,0.0238
-19.0,-1.2013,0.06716,0.06326,-0.0717,1.0,0.0239
-18.75,-1.2053,0.06332,0.05933,-0.0734,1.0,0.0241
-18.5,-1.2077,0.0598,0.05572,-0.0749,1.0,0.0243
-18.25,-1.2088,0.05656,0.0524,-0.0761,1.0,0.0245
-18.0,-1.2087,0.0536,0.04936,-0.077,1.0,0.0247
-17.75,-1.2075,0.05089,0.04657,-0.0777,1.0,0.0249
-17.5,-1.2051,0.04846,0.04406,-0.0782,1.0,0.0251
-17.25,-1.2022,0.04621,0.04174,-0.0784,1.0,0.0253
-17.0,-1.1988,0.04413,0.03959,-0.0783,1.0,0.0255
-16.75,-1.1946,0.04229,0.03767,-0.078,1.0,0.0257
-16.5,-1.1898,0.04061,0.03592,-0.0775,1.0,0.0259
-16.25,-1.1848,0.03907,0.03432,-0.0768,1.0,0.0261
-16.0,-1.1877,0.03708,0.03227,-0.0755,1.0,0.0264
-15.75,-1.192,0.03525,0.03038,-0.0737,1.0,0.0268
-15.5,-1.1937,0.03384,0.02894,-0.0716,1.0,0.0272
-15.25,-1.194,0.03267,0.02775,-0.0693,1.0,0.0275
-15.0,-1.1944,0.03161,0.02666,-0.0669,1.0,0.0277
-14.75,-1.1939,0.03067,0.02569,-0.0642,1.0,0.028
-14.5,-1.1947,0.02976,0.02475,-0.0614,1.0,0.0283
-14.25,-1.188,0.02884,0.02379,-0.0598,0.9996,0.0287
-14.0,-1.1671,0.02782,0.02272,-0.0609,0.9985,0.0292
-13.75,-1.1455,0.02685,0.02171,-0.062,0.9971,0.0297
-13.5,-1.1223,0.02602,0.02082,-0.0632,0.9958,0.0301
-13.25,-1.0983,0.02526,0.02,-0.0643,0.9945,0.0305
-13.0,-1.0797,0.02394,0.01864,-0.0655,0.9931,0.0312
-12.75,-1.0625,0.02293,0.01761,-0.0657,0.9904,0.0319
-12.5,-1.038,0.02215,0.01682,-0.0669,0.9882,0.0326
-12.25,-1.0104,0.02147,0.01613,-0.0683,0.9865,0.0333
-12.0,-0.9815,0.02082,0.01545,-0.07,0.9852,0.034
-11.75,-0.9516,0.02021,0.01482,-0.0718,0.9841,0.0347
-11.5,-0.9208,0.01969,0.01426,-0.0736,0.9833,0.0353
-11.25,-0.8905,0.01885,0.01339,-0.0758,0.9825,0.0362
-11.0,-0.859,0.01808,0.01262,-0.0782,0.9819,0.0374
-10.75,-0.8262,0.01757,0.01212,-0.0804,0.9814,0.0385
-10.5,-0.8033,0.01712,0.01166,-0.0804,0.9783,0.0394
-10.25,-0.7748,0.01668,0.0112,-0.0816,0.9763,0.0403
-10.0,-0.7435,0.01629,0.01078,-0.0831,0.9749,0.041
-9.75,-0.7107,0.01556,0.01003,-0.0855,0.9738,0.0425
-9.5,-0.6768,0.01501,0.00951,-0.0878,0.9729,0.0441
-9.25,-0.6425,0.01459,0.00908,-0.09,0.9722,0.0454
-9.0,-0.6079,0.01419,0.00868,-0.0922,0.9717,0.0467
-8.75,-0.573,0.01387,0.00834,-0.0942,0.9712,0.0476
-8.5,-0.5365,0.01326,0.00774,-0.0972,0.9708,0.0502
-8.25,-0.5004,0.01285,0.00736,-0.0996,0.9704,0.0522
-8.0,-0.4645,0.01252,0.00702,-0.1019,0.9701,0.054
-7.75,-0.4284,0.01216,0.00665,-0.1043,0.9696,0.056
-7.5,-0.3917,0.01174,0.00628,-0.1068,0.9692,0.0598
