Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.0,-0.4249,0.11027,0.10483,-0.024,1.0,0.2499
-8.75,-0.4222,0.1074,0.10199,-0.0215,1.0,0.2586
-8.5,-0.4527,0.10739,0.10209,-0.0193,1.0,0.2656
-8.0,-0.4636,0.10269,0.09747,-0.0141,1.0,0.2857
-7.75,-0.4874,0.1019,0.09676,-0.0111,1.0,0.2957
-7.5,-0.4899,0.09942,0.09432,-0.0081,1.0,0.3097
-7.25,-0.4973,0.09722,0.09217,-0.0049,1.0,0.3238
-7.0,-0.5087,0.09524,0.09025,-0.0015,1.0,0.3385
-6.75,-0.5236,0.09342,0.0885,0.0024,1.0,0.3542
-6.5,-0.5431,0.09178,0.08693,0.0066,1.0,0.3708
-6.25,-0.5713,0.09041,0.08563,0.0107,1.0,0.3883
-5.0,-0.3221,0.07223,0.06708,0.0217,1.0,0.7746
-4.75,-0.3763,0.07145,0.06644,0.0284,1.0,0.7302
-4.5,-0.437,0.07049,0.06563,0.0358,1.0,0.6958
-4.0,-0.5405,0.05279,0.04503,-0.0043,1.0,0.176
-3.75,-0.5179,0.0487,0.04064,-0.0037,1.0,0.1571
-3.5,-0.4941,0.04551,0.03678,-0.0029,1.0,0.1415
-3.25,-0.4689,0.04304,0.03343,-0.0017,1.0,0.13
-3.0,-0.4461,0.04064,0.03073,-0.0009,1.0,0.1267
-2.75,-0.4222,0.0388,0.02845,0.0,1.0,0.1265
-2.5,-0.3979,0.03738,0.02656,0.0008,1.0,0.1293
-2.25,-0.3726,0.03609,0.02484,0.0016,1.0,0.1312
-2.0,-0.3464,0.03457,0.02321,0.0018,1.0,0.1353
-1.75,-0.3202,0.03377,0.02216,0.0022,1.0,0.1457
-1.5,-0.2882,0.03291,0.02125,0.0016,1.0,0.1597
-1.25,-0.157,0.02967,0.02108,-0.0146,1.0,1.0
-1.0,-0.1422,0.02996,0.02087,-0.0128,1.0,1.0
-0.75,-0.1276,0.03027,0.02081,-0.0112,1.0,1.0
-0.5,-0.113,0.03061,0.02084,-0.0097,1.0,1.0
-0.25,-0.0983,0.03098,0.02092,-0.0083,1.0,1.0
0.0,-0.0834,0.03138,0.02107,-0.007,1.0,1.0
0.25,-0.0684,0.03181,0.02128,-0.0057,1.0,1.0
0.5,-0.0532,0.03227,0.02155,-0.0045,1.0,1.0
0.75,-0.0379,0.03277,0.02186,-0.0034,1.0,1.0
1.0,-0.0224,0.0333,0.02222,-0.0024,1.0,1.0
1.25,-0.0069,0.03386,0.02264,-0.0014,1.0,1.0
1.5,0.0087,0.03447,0.02311,-0.0005,1.0,1.0
1.75,0.0244,0.03511,0.02364,0.0003,1.0,1.0
2.0,0.0402,0.03579,0.02421,0.0011,1.0,1.0
2.25,0.0559,0.03652,0.02485,0.0018,1.0,1.0
2.5,0.0716,0.03729,0.02555,0.0024,1.0,1.0
2.75,0.0873,0.03811,0.0263,0.0029,1.0,1.0
3.0,0.1029,0.03897,0.02711,0.0034,1.0,1.0
3.25,0.1183,0.03988,0.02799,0.0038,1.0,1.0
3.5,0.1337,0.04085,0.02893,0.0042,1.0,1.0
3.75,0.1489,0.04187,0.02993,0.0045,1.0,1.0
4.0,0.1639,0.04295,0.03101,0.0048,1.0,1.0
4.25,0.1787,0.04409,0.03215,0.0049,1.0,1.0
4.5,0.1934,0.04529,0.03336,0.0051,1.0,1.0
4.75,0.2077,0.04655,0.03466,0.0051,1.0,1.0
5.0,0.2219,0.04788,0.03602,0.0051,1.0,1.0
5.25,0.2357,0.04929,0.03749,0.0051,1.0,1.0
5.75,0.3217,0.05557,0.044,-0.0073,0.9616,1.0
