Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.0,-0.8022,0.07748,0.06925,-0.0308,1.0,0.1885
-10.75,-0.8442,0.07035,0.06203,-0.0311,1.0,0.1873
-10.5,-0.8851,0.06475,0.05627,-0.0287,1.0,0.1865
-10.25,-0.9176,0.05969,0.05093,-0.0257,1.0,0.1869
-10.0,-0.9434,0.05517,0.04599,-0.022,1.0,0.1883
-9.75,-0.9165,0.05358,0.04459,-0.0216,1.0,0.1959
-9.5,-0.9248,0.0503,0.041,-0.0185,1.0,0.201
-9.25,-0.9332,0.04694,0.03723,-0.015,1.0,0.2061
-9.0,-0.9132,0.04547,0.03586,-0.0138,1.0,0.2161
-8.75,-0.9076,0.0431,0.0333,-0.0112,1.0,0.2249
-8.5,-0.8997,0.04122,0.03122,-0.0086,1.0,0.236
-8.25,-0.8818,0.03986,0.02996,-0.007,1.0,0.2489
-8.0,-0.868,0.03838,0.02847,-0.0048,1.0,0.2627
-7.75,-0.8545,0.03697,0.02703,-0.0026,1.0,0.2778
-7.5,-0.8402,0.03572,0.02578,-0.0003,1.0,0.2944
-7.25,-0.8248,0.03461,0.02471,0.0019,1.0,0.3123
-7.0,-0.8089,0.03359,0.02373,0.0041,1.0,0.3315
-6.75,-0.7934,0.03263,0.02281,0.0064,1.0,0.352
-6.5,-0.7795,0.03164,0.02179,0.0089,1.0,0.3737
-6.25,-0.7622,0.03086,0.02112,0.0111,1.0,0.3959
-6.0,-0.7431,0.03032,0.02072,0.0132,1.0,0.4189
-5.75,-0.7273,0.02963,0.02006,0.0157,1.0,0.4433
-5.5,-0.7103,0.02904,0.01955,0.018,1.0,0.4678
-5.25,-0.691,0.02869,0.01933,0.0203,1.0,0.4923
-5.0,-0.6765,0.02808,0.0187,0.0229,1.0,0.5187
-4.75,-0.6558,0.0279,0.01869,0.0252,1.0,0.543
-4.5,-0.638,0.02761,0.01847,0.0278,1.0,0.5688
-4.25,-0.6209,0.02729,0.01819,0.0303,1.0,0.5946
-4.0,-0.6011,0.02725,0.01826,0.0329,1.0,0.6194
-3.75,-0.586,0.02691,0.01792,0.0355,1.0,0.6464
-3.5,-0.5652,0.02701,0.01811,0.0381,1.0,0.6703
-3.25,-0.5463,0.02705,0.01819,0.0407,1.0,0.6956
-3.0,-0.5299,0.02694,0.0181,0.0433,1.0,0.7219
-2.75,-0.5069,0.02726,0.01845,0.0456,1.0,0.7462
-2.5,-0.4886,0.02733,0.01852,0.048,1.0,0.7732
-2.25,-0.4624,0.02772,0.01892,0.0494,1.0,0.7982
-2.0,-0.4322,0.02817,0.01934,0.05,1.0,0.8243
-1.75,-0.3985,0.02859,0.01972,0.0494,1.0,0.8513
-1.5,-0.3429,0.02935,0.02041,0.0451,1.0,0.8763
-1.25,-0.2907,0.02981,0.02081,0.0404,1.0,0.9034
-1.0,-0.2043,0.03039,0.02129,0.0292,1.0,0.9258
-0.75,-0.1382,0.03057,0.02142,0.0206,1.0,0.9519
-0.5,-0.0601,0.03056,0.02139,0.0091,1.0,0.9754
-0.25,0.023,0.03035,0.02116,-0.004,1.0,0.9999
0.0,0.0,0.03036,0.02118,0.0,1.0,1.0
0.25,-0.023,0.03035,0.02116,0.004,0.9999,1.0
0.5,0.06,0.03056,0.02138,-0.0091,0.9754,1.0
0.75,0.1382,0.03056,0.02141,-0.0206,0.9519,1.0
1.0,0.2042,0.03039,0.02129,-0.0291,0.9258,1.0
1.25,0.2906,0.02981,0.0208,-0.0403,0.9034,1.0
1.5,0.3428,0.02934,0.02041,-0.0451,0.8763,1.0
1.75,0.3983,0.02858,0.01972,-0.0494,0.8513,1.0
2.0,0.4321,0.02816,0.01933,-0.0499,0.8244,1.0
2.25,0.4623,0.02771,0.01891,-0.0494,0.7982,1.0
2.5,0.4886,0.02733,0.01852,-0.048,0.7732,1.0
2.75,0.5068,0.02726,0.01845,-0.0456,0.7462,1.0
3.0,0.5298,0.02694,0.0181,-0.0433,0.722,1.0
3.25,0.5462,0.02704,0.01818,-0.0407,0.6957,1.0
3.5,0.5651,0.02701,0.0181,-0.0381,0.6703,1.0
3.75,0.5859,0.02691,0.01791,-0.0355,0.6464,1.0
4.0,0.6009,0.02725,0.01825,-0.0328,0.6194,1.0
4.25,0.6208,0.02729,0.01819,-0.0303,0.5946,1.0
4.5,0.6379,0.0276,0.01847,-0.0277,0.5689,1.0
4.75,0.6556,0.0279,0.01869,-0.0252,0.5431,1.0
5.0,0.6764,0.02807,0.0187,-0.0229,0.5187,1.0
5.25,0.6909,0.02869,0.01933,-0.0203,0.4924,1.0
5.5,0.7102,0.02904,0.01955,-0.018,0.4678,1.0
5.75,0.7272,0.02962,0.02006,-0.0157,0.4434,1.0
6.0,0.743,0.03031,0.02071,-0.0132,0.419,1.0
6.25,0.7621,0.03086,0.02112,-0.0111,0.3959,1.0
6.5,0.7795,0.03163,0.02178,-0.0089,0.3738,1.0
6.75,0.7934,0.03263,0.0228,-0.0064,0.352,1.0
7.0,0.8088,0.03359,0.02373,-0.0041,0.3315,1.0
7.25,0.8247,0.0346,0.0247,-0.0019,0.3123,1.0
7.5,0.8401,0.03572,0.02578,0.0003,0.2944,1.0
7.75,0.8544,0.03697,0.02703,0.0026,0.2778,1.0
8.0,0.868,0.03838,0.02846,0.0048,0.2627,1.0
8.25,0.8818,0.03986,0.02996,0.007,0.2489,1.0
8.5,0.8996,0.04122,0.03121,0.0086,0.236,1.0
8.75,0.9077,0.0431,0.03329,0.0112,0.2249,1.0
9.0,0.9132,0.04547,0.03586,0.0138,0.216,1.0
9.25,0.9334,0.04694,0.03723,0.015,0.2061,1.0
9.5,0.9249,0.0503,0.041,0.0185,0.201,1.0
9.75,0.9167,0.05358,0.04459,0.0216,0.1959,1.0
10.0,0.9434,0.05519,0.046,0.022,0.1883,1.0
10.25,0.9177,0.05971,0.05095,0.0256,0.1869,1.0
10.5,0.8853,0.06478,0.0563,0.0286,0.1865,1.0
10.75,0.8443,0.07039,0.06208,0.031,0.1873,1.0
11.0,0.8024,0.07755,0.06932,0.0307,0.1885,1.0
